date,year,week,cases
1943-09-12,1943,37,701
1943-09-19,1943,38,907
1943-09-26,1943,39,937
1943-10-03,1943,40,1287
1943-10-10,1943,41,1328
1943-10-17,1943,42,1489
1943-10-24,1943,43,1496
1943-10-31,1943,44,1505
1943-11-07,1943,45,1638
1943-11-14,1943,46,1835
1943-11-21,1943,47,2588
1943-11-28,1943,48,4863
1943-12-05,1943,49,24462
1943-12-12,1943,50,88143
1943-12-19,1943,51,91173
1943-12-26,1943,52,134293
1944-01-02,1944,1,133886
1944-01-09,1944,2,69364
1944-01-16,1944,3,48893
1944-01-23,1944,4,23381
1944-01-30,1944,5,15453
1944-02-06,1944,6,11237
1944-02-13,1944,7,7567
1944-02-20,1944,8,6686
1944-02-27,1944,9,5457
1944-03-05,1944,10,4630
1944-03-12,1944,11,3649
1944-03-19,1944,12,3519
1944-03-26,1944,13,2890
1944-04-02,1944,14,2253
1944-04-09,1944,15,2008
1944-04-16,1944,16,1898
1944-04-23,1944,17,1800
1944-04-30,1944,18,1478
1944-05-07,1944,19,1205
1944-05-14,1944,20,967
1944-05-21,1944,21,917
1944-05-28,1944,22,777
1944-06-04,1944,23,712
1944-06-11,1944,24,565
1944-06-18,1944,25,439
1944-06-25,1944,26,605
1944-07-02,1944,27,515
1944-07-09,1944,28,444
1944-07-16,1944,29,421
1944-07-23,1944,30,449
1944-07-30,1944,31,467
1944-08-06,1944,32,397
1944-08-13,1944,33,587
1944-08-20,1944,34,512
1944-08-27,1944,35,515
1944-09-03,1944,36,670
1944-09-10,1944,37,581
1944-09-17,1944,38,715
1944-09-24,1944,39,930
1944-10-01,1944,40,1120
1944-10-08,1944,41,1230
1944-10-15,1944,42,1352
1944-10-22,1944,43,1598
1944-10-29,1944,44,1660
1944-11-05,1944,45,1378
1944-11-12,1944,46,1922
1944-11-19,1944,47,1831
1944-11-26,1944,48,2302
1944-12-03,1944,49,2565
1944-12-10,1944,50,3039
1944-12-17,1944,51,2811
1944-12-24,1944,52,3597
1945-01-07,1945,1,4300
1945-01-14,1945,2,4191
1945-01-21,1945,3,4509
1945-01-28,1945,4,4432
1945-02-04,1945,5,4806
1945-02-11,1945,6,4596
1945-02-18,1945,7,4531
1945-02-25,1945,8,4250
1945-03-04,1945,9,4102
1945-03-11,1945,10,3158
1945-03-18,1945,11,2501
1945-03-25,1945,12,2482
1945-04-01,1945,13,2068
1945-04-08,1945,14,1570
1945-04-15,1945,15,1457
1945-04-22,1945,16,1629
1945-04-29,1945,17,1454
1945-05-06,1945,18,1251
1945-05-13,1945,19,1111
1945-05-20,1945,20,1032
1945-05-27,1945,21,1124
1945-06-03,1945,22,865
1945-06-10,1945,23,713
1945-06-17,1945,24,683
1945-06-24,1945,25,697
1945-07-01,1945,26,604
1945-07-08,1945,27,649
1945-07-15,1945,28,623
1945-07-22,1945,29,602
1945-07-29,1945,30,615
1945-08-05,1945,31,743
1945-08-12,1945,32,546
1945-08-19,1945,33,938
1945-08-26,1945,34,680
1945-09-02,1945,35,1014
1945-09-09,1945,36,942
1945-09-16,1945,37,870
1945-09-23,1945,38,1137
1945-09-30,1945,39,1070
1945-10-07,1945,40,1411
1945-10-14,1945,41,2055
1945-10-21,1945,42,2439
1945-10-28,1945,43,2668
1945-11-04,1945,44,2904
1945-11-11,1945,45,4225
1945-11-18,1945,46,5340
1945-11-25,1945,47,13450
1945-12-02,1945,48,49995
1945-12-09,1945,49,150022
1945-12-16,1945,50,70105
1945-12-23,1945,51,54062
1945-12-30,1945,52,49171
1946-01-06,1946,1,33330
1946-01-13,1946,2,21624
1946-01-20,1946,3,14835
1946-01-27,1946,4,14604
1946-02-03,1946,5,9203
1946-02-10,1946,6,8668
1946-02-17,1946,7,7443
1946-02-24,1946,8,5489
1946-03-03,1946,9,5654
1946-03-10,1946,10,4179
1946-03-17,1946,11,3542
1946-03-24,1946,12,2661
1946-03-31,1946,13,1923
1946-04-07,1946,14,1534
1946-04-14,1946,15,1353
1946-04-21,1946,16,1271
1946-04-28,1946,17,971
1946-05-05,1946,18,889
1946-05-12,1946,19,944
1946-05-19,1946,20,743
1946-05-26,1946,21,684
